================================================================
  ANÁLISIS LÉXICO — Dart Analyzer
  Desarrollador : BenjaminCedeno
  Algoritmo     : algoritmo_benjamin.dart
  Fecha/Hora    : 14/06/2026 22:57:43
================================================================

TOKENS RECONOCIDOS (113):
Línea   Tipo                    Valor
----------------------------------------------------------------
1       COMENTARIO_LINEA        // Prueba de operadores logicos y matematicos - Benjamin Cedeño
3       INT                     int
3       IDENTIFICADOR           suma
3       ASIGNACION              =
3       ENTERO                  10
3       MAS                     +
3       ENTERO                  5
3       PUNTO_COMA              ;
4       INT                     int
4       IDENTIFICADOR           resta
4       ASIGNACION              =
4       ENTERO                  10
4       MENOS                   -
4       ENTERO                  5
4       PUNTO_COMA              ;
5       INT                     int
5       IDENTIFICADOR           multiplicacion
5       ASIGNACION              =
5       ENTERO                  10
5       PRODUCTO                *
5       ENTERO                  5
5       PUNTO_COMA              ;
6       DOUBLE                  double
6       IDENTIFICADOR           division
6       ASIGNACION              =
6       ENTERO                  10
6       DIVISION                /
6       ENTERO                  5
6       PUNTO_COMA              ;
7       INT                     int
7       IDENTIFICADOR           division_entera
7       ASIGNACION              =
7       ENTERO                  10
7       DIVISION_ENTERA         ~/
7       ENTERO                  3
7       PUNTO_COMA              ;
8       INT                     int
8       IDENTIFICADOR           modulo
8       ASIGNACION              =
8       ENTERO                  10
8       MODULO                  %
8       ENTERO                  3
8       PUNTO_COMA              ;
10      BOOL                    bool
10      IDENTIFICADOR           and_logico
10      ASIGNACION              =
10      TRUE                    true
10      AND                     &&
10      FALSE                   false
10      PUNTO_COMA              ;
11      BOOL                    bool
11      IDENTIFICADOR           or_logico
11      ASIGNACION              =
11      TRUE                    true
11      OR                      ||
11      FALSE                   false
11      PUNTO_COMA              ;
12      BOOL                    bool
12      IDENTIFICADOR           not_logico
12      ASIGNACION              =
12      NOT                     !
12      TRUE                    true
12      PUNTO_COMA              ;
14      COMENTARIO_LINEA        // Estructuras asignadas para las siguientes fases
15      SET_TYPE                Set
15      MENOR                   <
15      STRING_TYPE             String
15      MAYOR                   >
15      IDENTIFICADOR           lenguajes
15      ASIGNACION              =
15      LLAVE_IZQ               {
15      CADENA                  dart
15      COMA                    ,
15      CADENA                  python
15      LLAVE_DER               }
15      PUNTO_COMA              ;
17      INT                     int
17      IDENTIFICADOR           contador
17      ASIGNACION              =
17      ENTERO                  0
17      PUNTO_COMA              ;
18      WHILE                   while
18      PAREN_IZQ               (
18      IDENTIFICADOR           contador
18      MENOR                   <
18      ENTERO                  5
18      PAREN_DER               )
18      LLAVE_IZQ               {
19      IF                      if
19      PAREN_IZQ               (
19      IDENTIFICADOR           contador
19      IGUAL_IGUAL             ==
19      ENTERO                  3
19      PAREN_DER               )
19      LLAVE_IZQ               {
20      BREAK                   break
20      PUNTO_COMA              ;
21      LLAVE_DER               }
21      ELSE                    else
21      LLAVE_IZQ               {
22      IDENTIFICADOR           contador
22      ASIGNACION              =
22      IDENTIFICADOR           contador
22      MAS                     +
22      ENTERO                  1
22      PUNTO_COMA              ;
23      LLAVE_DER               }
24      LLAVE_DER               }
26      COMENTARIO_LINEA        // Error lexico intencional para probar la funcion t_error
27      IDENTIFICADOR           variable_invalida
27      ASIGNACION              =
27      ENTERO                  100
27      PUNTO_COMA              ;

ERRORES ENCONTRADOS (1):
----------------------------------------------------------------
[Error Léxico] Línea 27: Carácter no reconocido '@'

================================================================
