================================================================
  ANÁLISIS LÉXICO — Dart Analyzer
  Desarrollador : GUI-jairordtgz
  Algoritmo     : editor.dart
  Fecha/Hora    : 10/07/2026 10:48:59
================================================================

TOKENS RECONOCIDOS (355):
Línea   Tipo                    Valor
----------------------------------------------------------------
1       COMENTARIO_LINEA        // declaracion de variables, expresiones aritmeticas y booleanas,
2       COMENTARIO_LINEA        // for clasico, for-in, funcion con retorno, List, print e input.
3       COMENTARIO_LINEA        // Semantico: compatibilidad de tipos, retorno de funcion
5       IMPORT                  import
5       CADENA                  dart:io
5       PUNTO_COMA              ;
7       INT                     int
7       IDENTIFICADOR           sumar
7       PAREN_IZQ               (
7       INT                     int
7       IDENTIFICADOR           a
7       COMA                    ,
7       INT                     int
7       IDENTIFICADOR           b
7       PAREN_DER               )
7       LLAVE_IZQ               {
8       RETURN                  return
8       IDENTIFICADOR           a
8       MAS                     +
8       IDENTIFICADOR           b
8       PUNTO_COMA              ;
9       LLAVE_DER               }
11      DOUBLE                  double
11      IDENTIFICADOR           calcularPromedio
11      PAREN_IZQ               (
11      DOUBLE                  double
11      IDENTIFICADOR           n1
11      COMA                    ,
11      DOUBLE                  double
11      IDENTIFICADOR           n2
11      PAREN_DER               )
11      LLAVE_IZQ               {
12      RETURN                  return
12      PAREN_IZQ               (
12      IDENTIFICADOR           n1
12      MAS                     +
12      IDENTIFICADOR           n2
12      PAREN_DER               )
12      DIVISION                /
12      ENTERO                  2
12      PUNTO_COMA              ;
13      LLAVE_DER               }
15      VOID                    void
15      IDENTIFICADOR           main
15      PAREN_IZQ               (
15      PAREN_DER               )
15      LLAVE_IZQ               {
16      INT                     int
16      IDENTIFICADOR           edad
16      ASIGNACION              =
16      ENTERO                  25
16      PUNTO_COMA              ;
17      DOUBLE                  double
17      IDENTIFICADOR           precio
17      ASIGNACION              =
17      FLOTANTE                9.99
17      PUNTO_COMA              ;
18      STRING_TYPE             String
18      IDENTIFICADOR           nombre
18      ASIGNACION              =
18      CADENA                  JairoRodriguez
18      PUNTO_COMA              ;
19      BOOL                    bool
19      IDENTIFICADOR           activo
19      ASIGNACION              =
19      TRUE                    true
19      PUNTO_COMA              ;
20      DOUBLE                  double
20      IDENTIFICADOR           x
20      ASIGNACION              =
20      ENTERO                  0
20      PUNTO_COMA              ;
21      FINAL                   final
21      INT                     int
21      IDENTIFICADOR           MAX
21      ASIGNACION              =
21      ENTERO                  100
21      PUNTO_COMA              ;
22      CONST                   const
22      DOUBLE                  double
22      IDENTIFICADOR           PI
22      ASIGNACION              =
22      FLOTANTE                3.14159
22      PUNTO_COMA              ;
24      IDENTIFICADOR           x
24      MAS_IGUAL               +=
24      ENTERO                  1
24      PUNTO_COMA              ;
25      IDENTIFICADOR           x
25      MENOS_IGUAL             -=
25      ENTERO                  0
25      PUNTO_COMA              ;
26      IDENTIFICADOR           x
26      PRODUCTO_IGUAL          *=
26      ENTERO                  1
26      PUNTO_COMA              ;
27      IDENTIFICADOR           x
27      DIVISION_IGUAL          /=
27      ENTERO                  1
27      PUNTO_COMA              ;
29      BOOL                    bool
29      IDENTIFICADOR           esMayor
29      ASIGNACION              =
29      IDENTIFICADOR           edad
29      MAYOR_IGUAL             >=
29      ENTERO                  18
29      PUNTO_COMA              ;
30      BOOL                    bool
30      IDENTIFICADOR           esIgual
30      ASIGNACION              =
30      IDENTIFICADOR           edad
30      IGUAL_IGUAL             ==
30      ENTERO                  25
30      PUNTO_COMA              ;
31      BOOL                    bool
31      IDENTIFICADOR           esDiferente
31      ASIGNACION              =
31      IDENTIFICADOR           precio
31      DIFERENTE               !=
31      FLOTANTE                0.0
31      PUNTO_COMA              ;
32      BOOL                    bool
32      IDENTIFICADOR           esMenor
32      ASIGNACION              =
32      IDENTIFICADOR           precio
32      MENOR                   <
32      ENTERO                  100
32      PUNTO_COMA              ;
33      BOOL                    bool
33      IDENTIFICADOR           esMenorIgual
33      ASIGNACION              =
33      IDENTIFICADOR           precio
33      MENOR_IGUAL             <=
33      FLOTANTE                9.99
33      PUNTO_COMA              ;
34      BOOL                    bool
34      IDENTIFICADOR           esMayorQ
34      ASIGNACION              =
34      IDENTIFICADOR           precio
34      MAYOR                   >
34      FLOTANTE                5.0
34      PUNTO_COMA              ;
35      BOOL                    bool
35      IDENTIFICADOR           esAlto
35      ASIGNACION              =
35      IDENTIFICADOR           edad
35      MAYOR_IGUAL             >=
35      ENTERO                  18
35      PUNTO_COMA              ;
37      INT                     int
37      IDENTIFICADOR           nivel
37      ASIGNACION              =
37      ENTERO                  3
37      PUNTO_COMA              ;
38      DOUBLE                  double
38      IDENTIFICADOR           nota
38      ASIGNACION              =
38      FLOTANTE                87.5
38      PUNTO_COMA              ;
39      BOOL                    bool
39      IDENTIFICADOR           aprobado
39      ASIGNACION              =
39      IDENTIFICADOR           nota
39      MAYOR_IGUAL             >=
39      FLOTANTE                60.0
39      PUNTO_COMA              ;
40      BOOL                    bool
40      IDENTIFICADOR           reprobado
40      ASIGNACION              =
40      IDENTIFICADOR           nota
40      MENOR                   <
40      FLOTANTE                60.0
40      PUNTO_COMA              ;
41      BOOL                    bool
41      IDENTIFICADOR           exacto
41      ASIGNACION              =
41      IDENTIFICADOR           nota
41      IGUAL_IGUAL             ==
41      FLOTANTE                87.5
41      PUNTO_COMA              ;
42      BOOL                    bool
42      IDENTIFICADOR           distinto
42      ASIGNACION              =
42      IDENTIFICADOR           nivel
42      DIFERENTE               !=
42      ENTERO                  0
42      PUNTO_COMA              ;
44      INT                     int
44      IDENTIFICADOR           resultado
44      ASIGNACION              =
44      IDENTIFICADOR           sumar
44      PAREN_IZQ               (
44      ENTERO                  10
44      COMA                    ,
44      ENTERO                  5
44      PAREN_DER               )
44      PUNTO_COMA              ;
45      DOUBLE                  double
45      IDENTIFICADOR           promedio
45      ASIGNACION              =
45      IDENTIFICADOR           calcularPromedio
45      PAREN_IZQ               (
45      FLOTANTE                80.0
45      COMA                    ,
45      FLOTANTE                95.0
45      PAREN_DER               )
45      PUNTO_COMA              ;
