================================================================
  ANÁLISIS LÉXICO — Dart Analyzer
  Desarrollador : JairoRodriguez
  Algoritmo     : algoritmo_jairo.dart
  Fecha/Hora    : 20/06/2026 23:30:48
================================================================

TOKENS RECONOCIDOS (229):
Línea   Tipo                    Valor
----------------------------------------------------------------
1       INT                     int
1       IDENTIFICADOR           sumar
1       PAREN_IZQ               (
1       INT                     int
1       IDENTIFICADOR           a
1       COMA                    ,
1       INT                     int
1       IDENTIFICADOR           b
1       PAREN_DER               )
1       LLAVE_IZQ               {
2       RETURN                  return
2       IDENTIFICADOR           a
2       MAS                     +
2       IDENTIFICADOR           b
2       PUNTO_COMA              ;
3       LLAVE_DER               }
5       DOUBLE                  double
5       IDENTIFICADOR           calcularPromedio
5       PAREN_IZQ               (
5       DOUBLE                  double
5       IDENTIFICADOR           n1
5       COMA                    ,
5       DOUBLE                  double
5       IDENTIFICADOR           n2
5       PAREN_DER               )
5       LLAVE_IZQ               {
6       RETURN                  return
6       PAREN_IZQ               (
6       IDENTIFICADOR           n1
6       MAS                     +
6       IDENTIFICADOR           n2
6       PAREN_DER               )
6       DIVISION                /
6       ENTERO                  2
6       PUNTO_COMA              ;
7       LLAVE_DER               }
9       LIST_TYPE               List
9       MENOR                   <
9       DOUBLE                  double
9       MAYOR                   >
9       IDENTIFICADOR           notas
9       ASIGNACION              =
9       CORCHETE_IZQ            [
9       FLOTANTE                7.5
9       COMA                    ,
9       FLOTANTE                8.0
9       COMA                    ,
9       FLOTANTE                9.5
9       CORCHETE_DER            ]
9       PUNTO_COMA              ;
10      LIST_TYPE               List
10      MENOR                   <
10      STRING_TYPE             String
10      MAYOR                   >
10      IDENTIFICADOR           nombres
10      ASIGNACION              =
10      CORCHETE_IZQ            [
10      CADENA                  Jairo
10      COMA                    ,
10      CADENA                  Dylan
10      COMA                    ,
10      CADENA                  Ellen
10      CORCHETE_DER            ]
10      PUNTO_COMA              ;
11      INT                     int
11      IDENTIFICADOR           edad
11      ASIGNACION              =
11      ENTERO                  25
11      PUNTO_COMA              ;
12      DOUBLE                  double
12      IDENTIFICADOR           precio
12      ASIGNACION              =
12      FLOTANTE                9.99
12      PUNTO_COMA              ;
13      STRING_TYPE             String
13      IDENTIFICADOR           nombre
13      ASIGNACION              =
13      CADENA                  JairoRodriguez
13      PUNTO_COMA              ;
14      BOOL                    bool
14      IDENTIFICADOR           activo
14      ASIGNACION              =
14      TRUE                    true
14      PUNTO_COMA              ;
15      DOUBLE                  double
15      IDENTIFICADOR           x
15      ASIGNACION              =
15      ENTERO                  0
15      PUNTO_COMA              ;
16      FINAL                   final
16      INT                     int
16      IDENTIFICADOR           MAX
16      ASIGNACION              =
16      ENTERO                  100
16      PUNTO_COMA              ;
17      CONST                   const
17      DOUBLE                  double
17      IDENTIFICADOR           PI
17      ASIGNACION              =
17      FLOTANTE                3.14159
17      PUNTO_COMA              ;
19      IDENTIFICADOR           x
19      MAS_IGUAL               +=
19      ENTERO                  1
19      PUNTO_COMA              ;
20      IDENTIFICADOR           x
20      MENOS_IGUAL             -=
20      ENTERO                  0
20      PUNTO_COMA              ;
21      IDENTIFICADOR           x
21      PRODUCTO_IGUAL          *=
21      ENTERO                  1
21      PUNTO_COMA              ;
22      IDENTIFICADOR           x
22      DIVISION_IGUAL          /=
22      ENTERO                  1
22      PUNTO_COMA              ;
24      BOOL                    bool
24      IDENTIFICADOR           esMayor
24      ASIGNACION              =
24      IDENTIFICADOR           edad
24      MAYOR_IGUAL             >=
24      ENTERO                  18
24      PUNTO_COMA              ;
25      BOOL                    bool
25      IDENTIFICADOR           esIgual
25      ASIGNACION              =
25      IDENTIFICADOR           edad
25      IGUAL_IGUAL             ==
25      ENTERO                  25
25      PUNTO_COMA              ;
26      BOOL                    bool
26      IDENTIFICADOR           esDiferente
26      ASIGNACION              =
26      IDENTIFICADOR           precio
26      DIFERENTE               !=
26      FLOTANTE                0.0
26      PUNTO_COMA              ;
27      BOOL                    bool
27      IDENTIFICADOR           esMenor
27      ASIGNACION              =
27      IDENTIFICADOR           precio
27      MENOR                   <
27      ENTERO                  100
27      PUNTO_COMA              ;
28      BOOL                    bool
28      IDENTIFICADOR           esMenorIgual
28      ASIGNACION              =
28      IDENTIFICADOR           precio
28      MENOR_IGUAL             <=
28      FLOTANTE                9.99
28      PUNTO_COMA              ;
29      BOOL                    bool
29      IDENTIFICADOR           esMayorQ
29      ASIGNACION              =
29      IDENTIFICADOR           precio
29      MAYOR                   >
29      FLOTANTE                5.0
29      PUNTO_COMA              ;
30      BOOL                    bool
30      IDENTIFICADOR           esAlto
30      ASIGNACION              =
30      IDENTIFICADOR           edad
30      MAYOR_IGUAL             >=
30      ENTERO                  18
30      PUNTO_COMA              ;
32      INT                     int
32      IDENTIFICADOR           nivel
32      ASIGNACION              =
32      ENTERO                  3
32      PUNTO_COMA              ;
33      DOUBLE                  double
33      IDENTIFICADOR           nota
33      ASIGNACION              =
33      FLOTANTE                87.5
33      PUNTO_COMA              ;
34      BOOL                    bool
34      IDENTIFICADOR           aprobado
34      ASIGNACION              =
34      IDENTIFICADOR           nota
34      MAYOR_IGUAL             >=
34      FLOTANTE                60.0
34      PUNTO_COMA              ;
35      BOOL                    bool
35      IDENTIFICADOR           reprobado
35      ASIGNACION              =
35      IDENTIFICADOR           nota
35      MENOR                   <
35      FLOTANTE                60.0
35      PUNTO_COMA              ;
36      BOOL                    bool
36      IDENTIFICADOR           exacto
36      ASIGNACION              =
36      IDENTIFICADOR           nota
36      IGUAL_IGUAL             ==
36      FLOTANTE                87.5
36      PUNTO_COMA              ;
37      BOOL                    bool
37      IDENTIFICADOR           distinto
37      ASIGNACION              =
37      IDENTIFICADOR           nivel
37      DIFERENTE               !=
37      ENTERO                  0
37      PUNTO_COMA              ;
39      INT                     int
39      IDENTIFICADOR           resultado
39      ASIGNACION              =
39      IDENTIFICADOR           sumar
39      PAREN_IZQ               (
39      ENTERO                  10
39      COMA                    ,
39      ENTERO                  5
39      PAREN_DER               )
39      PUNTO_COMA              ;
40      DOUBLE                  double
40      IDENTIFICADOR           promedio
40      ASIGNACION              =
40      IDENTIFICADOR           calcularPromedio
40      PAREN_IZQ               (
40      FLOTANTE                80.0
40      COMA                    ,
40      FLOTANTE                95.0
40      PAREN_DER               )
40      PUNTO_COMA              ;
42      STRING_TYPE             String
42      IDENTIFICADOR           mensaje
42      ASIGNACION              =
42      CADENA                  Prueba completada
42      PUNTO_COMA              ;

ERRORES: Ninguno

================================================================
