================================================================
  ANÁLISIS LÉXICO — Dart Analyzer
  Desarrollador : caluloper
  Algoritmo     : algoritmo_carlos.dart
  Fecha/Hora    : 09/07/2026 16:48:00
================================================================

TOKENS RECONOCIDOS (280):
Línea   Tipo                    Valor
----------------------------------------------------------------
1       COMENTARIO_LINEA        // algoritmo_carlos.dart
2       COMENTARIO_LINEA        // Registra inscripciones a un taller, evita duplicados
3       COMENTARIO_LINEA        // y respeta un cupo maximo de participantes
5       INT                     int
5       IDENTIFICADOR           calcularCupoDisponible
5       PAREN_IZQ               (
5       INT                     int
5       IDENTIFICADOR           maximo
5       COMA                    ,
5       INT                     int
5       IDENTIFICADOR           actuales
5       PAREN_DER               )
5       LLAVE_IZQ               {
6       RETURN                  return
6       IDENTIFICADOR           maximo
6       MENOS                   -
6       IDENTIFICADOR           actuales
6       PUNTO_COMA              ;
7       LLAVE_DER               }
9       VOID                    void
9       IDENTIFICADOR           mostrarMensaje
9       PAREN_IZQ               (
9       STRING_TYPE             String
9       IDENTIFICADOR           texto
9       COMA                    ,
9       CORCHETE_IZQ            [
9       INT                     int
9       IDENTIFICADOR           veces
9       ASIGNACION              =
9       ENTERO                  1
9       CORCHETE_DER            ]
9       PAREN_DER               )
9       LLAVE_IZQ               {
10      INT                     int
10      IDENTIFICADOR           contador
10      ASIGNACION              =
10      ENTERO                  0
10      PUNTO_COMA              ;
11      WHILE                   while
11      PAREN_IZQ               (
11      IDENTIFICADOR           contador
11      MENOR                   <
11      IDENTIFICADOR           veces
11      PAREN_DER               )
11      LLAVE_IZQ               {
12      PRINT                   print
12      PAREN_IZQ               (
12      IDENTIFICADOR           texto
12      PAREN_DER               )
12      PUNTO_COMA              ;
13      IDENTIFICADOR           contador
13      MAS_IGUAL               +=
13      ENTERO                  1
13      PUNTO_COMA              ;
14      LLAVE_DER               }
15      LLAVE_DER               }
17      VOID                    void
17      IDENTIFICADOR           main
17      PAREN_IZQ               (
17      PAREN_DER               )
17      LLAVE_IZQ               {
18      FINAL                   final
18      INT                     int
18      IDENTIFICADOR           MAX_CUPOS
18      ASIGNACION              =
18      ENTERO                  3
18      PUNTO_COMA              ;
19      INT                     int
19      IDENTIFICADOR           aceptados
19      ASIGNACION              =
19      ENTERO                  0
19      PUNTO_COMA              ;
20      INT                     int
20      IDENTIFICADOR           rechazados
20      ASIGNACION              =
20      ENTERO                  0
20      PUNTO_COMA              ;
21      INT                     int
21      IDENTIFICADOR           duplicados
21      ASIGNACION              =
21      ENTERO                  0
21      PUNTO_COMA              ;
23      COMENTARIO_LINEA        // Nombres ya inscritos, no admite repetidos
24      SET_TYPE                Set
24      MENOR                   <
24      STRING_TYPE             String
24      MAYOR                   >
24      IDENTIFICADOR           inscritos
24      ASIGNACION              =
24      LLAVE_IZQ               {
24      LLAVE_DER               }
24      PUNTO_COMA              ;
26      COMENTARIO_LINEA        // Conteo de resultados por categoria
27      MAP_TYPE                Map
27      MENOR                   <
27      STRING_TYPE             String
27      COMA                    ,
27      INT                     int
27      MAYOR                   >
27      IDENTIFICADOR           resultados
27      ASIGNACION              =
27      LLAVE_IZQ               {
28      CADENA                  aceptados
28      DOS_PUNTOS              :
28      ENTERO                  0
28      COMA                    ,
29      CADENA                  rechazados
29      DOS_PUNTOS              :
29      ENTERO                  0
29      COMA                    ,
30      CADENA                  duplicados
30      DOS_PUNTOS              :
30      ENTERO                  0
31      LLAVE_DER               }
31      PUNTO_COMA              ;
33      COMENTARIO_LINEA        // Solicitudes recibidas en orden de llegada
34      LIST_TYPE               List
34      MENOR                   <
34      STRING_TYPE             String
34      MAYOR                   >
34      IDENTIFICADOR           solicitudes
34      ASIGNACION              =
34      CORCHETE_IZQ            [
34      CADENA                  Ana
34      COMA                    ,
34      CADENA                  Pedro
34      COMA                    ,
34      CADENA                  Ana
34      COMA                    ,
34      CADENA                  Luis
34      COMA                    ,
34      CADENA                  Maria
34      CORCHETE_DER            ]
34      PUNTO_COMA              ;
36      FOR                     for
36      PAREN_IZQ               (
36      VAR                     var
36      IDENTIFICADOR           nombre
36      IN                      in
36      IDENTIFICADOR           solicitudes
36      PAREN_DER               )
36      LLAVE_IZQ               {
37      IF                      if
37      PAREN_IZQ               (
37      NOT                     !
37      IDENTIFICADOR           inscritos
37      PUNTO                   .
37      IDENTIFICADOR           contains
37      PAREN_IZQ               (
37      IDENTIFICADOR           nombre
37      PAREN_DER               )
37      AND                     &&
37      IDENTIFICADOR           aceptados
37      MENOR                   <
37      IDENTIFICADOR           MAX_CUPOS
37      PAREN_DER               )
37      LLAVE_IZQ               {
38      IDENTIFICADOR           inscritos
38      PUNTO                   .
38      IDENTIFICADOR           add
38      PAREN_IZQ               (
38      IDENTIFICADOR           nombre
38      PAREN_DER               )
38      PUNTO_COMA              ;
39      IDENTIFICADOR           aceptados
39      MAS_IGUAL               +=
39      ENTERO                  1
39      PUNTO_COMA              ;
40      LLAVE_DER               }
40      ELSE                    else
40      IF                      if
40      PAREN_IZQ               (
40      IDENTIFICADOR           inscritos
40      PUNTO                   .
40      IDENTIFICADOR           contains
40      PAREN_IZQ               (
40      IDENTIFICADOR           nombre
40      PAREN_DER               )
40      PAREN_DER               )
40      LLAVE_IZQ               {
41      IDENTIFICADOR           duplicados
41      MAS_IGUAL               +=
41      ENTERO                  1
41      PUNTO_COMA              ;
42      LLAVE_DER               }
42      ELSE                    else
42      LLAVE_IZQ               {
43      IDENTIFICADOR           rechazados
43      MAS_IGUAL               +=
43      ENTERO                  1
43      PUNTO_COMA              ;
44      LLAVE_DER               }
45      LLAVE_DER               }
47      IDENTIFICADOR           resultados
47      CORCHETE_IZQ            [
47      CADENA                  aceptados
47      CORCHETE_DER            ]
47      ASIGNACION              =
47      IDENTIFICADOR           aceptados
47      PUNTO_COMA              ;
48      IDENTIFICADOR           resultados
48      CORCHETE_IZQ            [
48      CADENA                  rechazados
48      CORCHETE_DER            ]
48      ASIGNACION              =
48      IDENTIFICADOR           rechazados
48      PUNTO_COMA              ;
49      IDENTIFICADOR           resultados
49      CORCHETE_IZQ            [
49      CADENA                  duplicados
49      CORCHETE_DER            ]
49      ASIGNACION              =
49      IDENTIFICADOR           duplicados
49      PUNTO_COMA              ;
51      INT                     int
51      IDENTIFICADOR           cupoRestante
51      ASIGNACION              =
51      IDENTIFICADOR           calcularCupoDisponible
51      PAREN_IZQ               (
51      IDENTIFICADOR           MAX_CUPOS
51      COMA                    ,
51      IDENTIFICADOR           aceptados
51      PAREN_DER               )
51      PUNTO_COMA              ;
52      INT                     int
52      IDENTIFICADOR           totalProcesados
52      ASIGNACION              =
52      IDENTIFICADOR           aceptados
52      MAS                     +
52      IDENTIFICADOR           rechazados
52      MAS                     +
52      IDENTIFICADOR           duplicados
52      PUNTO_COMA              ;
54      INT                     int
54      IDENTIFICADOR           verificados
54      ASIGNACION              =
54      ENTERO                  0
54      PUNTO_COMA              ;
55      FOR                     for
55      PAREN_IZQ               (
55      INT                     int
55      IDENTIFICADOR           i
55      ASIGNACION              =
55      ENTERO                  0
55      PUNTO_COMA              ;
55      IDENTIFICADOR           i
55      MENOR                   <
55      IDENTIFICADOR           aceptados
55      PUNTO_COMA              ;
55      IDENTIFICADOR           i
55      MAS_IGUAL               +=
55      ENTERO                  1
55      PAREN_DER               )
55      LLAVE_IZQ               {
56      IDENTIFICADOR           verificados
56      MAS_IGUAL               +=
56      ENTERO                  1
56      PUNTO_COMA              ;
57      LLAVE_DER               }
59      PRINT                   print
59      PAREN_IZQ               (
59      IDENTIFICADOR           cupoRestante
59      PAREN_DER               )
59      PUNTO_COMA              ;
60      PRINT                   print
60      PAREN_IZQ               (
60      IDENTIFICADOR           totalProcesados
60      PAREN_DER               )
60      PUNTO_COMA              ;
61      PRINT                   print
61      PAREN_IZQ               (
61      IDENTIFICADOR           verificados
61      PAREN_DER               )
61      PUNTO_COMA              ;
63      IDENTIFICADOR           mostrarMensaje
63      PAREN_IZQ               (
63      CADENA                  Proceso de inscripcion finalizado
63      PAREN_DER               )
63      PUNTO_COMA              ;
64      LLAVE_DER               }

ERRORES: Ninguno

================================================================
